dimension,level,term,coef,se,pval,n_firms
section,C manufacturing,rb_x_high,0.03878838551534348,0.050370479598387204,0.44126319524425117,1204
section,C manufacturing,gpt_x_high,-0.20326914547124206,0.04437048428263585,4.623611468357325e-06,1204
section,G trade,rb_x_high,0.03254069645011323,0.05422037609483222,0.5484021217109902,1489
section,G trade,gpt_x_high,-0.11624107574189174,0.05525679721342759,0.035408808440131834,1489
section,J ICT,rb_x_high,-0.16224960413805126,0.10165431464620975,0.11046832971706322,955
section,J ICT,gpt_x_high,-0.10089582112150143,0.08860343989244919,0.25481377995384946,955
section,K finance,rb_x_high,-0.02282064515726452,0.11283508233051977,0.8397230200682824,171
section,K finance,gpt_x_high,-0.18135173959028783,0.12264081985295862,0.139214496589672,171
section,M professional,rb_x_high,-0.0023578981105121803,0.04526765070701746,0.9584586323257278,1333
section,M professional,gpt_x_high,-0.1608971853242344,0.04045467649504997,6.97253833761291e-05,1333
section,N admin-support,rb_x_high,-0.02673669495654735,0.024179897720991755,0.26883880554745954,1369
section,N admin-support,gpt_x_high,-0.1795683585494423,0.03342946012152318,7.8058286279159e-08,1369
section,other-private,rb_x_high,0.029679160313292006,0.02761706050305079,0.2825235716009058,4232
section,other-private,gpt_x_high,-0.24359022160468383,0.029874672889292696,4.440892098500626e-16,4232
section,public,rb_x_high,0.029153772677752165,0.012719066742072255,0.021898060070052683,780
section,public,gpt_x_high,-0.1320201913385015,0.01647901260815041,1.1102230246251565e-15,780
firm_age,young_lt10y,rb_x_high,-0.07483600888906734,0.042863460680024154,0.08082552052547443,3777
firm_age,young_lt10y,gpt_x_high,-0.18730949796139099,0.047093444387587814,6.967270734725695e-05,3777
firm_age,older_10y+,rb_x_high,0.015861663014893217,0.011235899428493618,0.1580397869749337,7745
firm_age,older_10y+,gpt_x_high,-0.15616235968899395,0.01293815592792012,0.0,7745
size_proxy,small,rb_x_high,0.06844044827099677,0.08831239014714397,0.4383507272884999,1112
size_proxy,small,gpt_x_high,-0.1495074034586248,0.07415137539733477,0.04377427339603379,1112
size_proxy,mid,rb_x_high,0.06468896737352967,0.06106384032915499,0.28943304499437317,1874
size_proxy,mid,gpt_x_high,-0.20365435082355324,0.05884723596582814,0.0005387143243558157,1874
size_proxy,large,rb_x_high,0.002233922419363416,0.011204496550711944,0.8419676055712035,6128
size_proxy,large,gpt_x_high,-0.15706371240953182,0.012968052200962766,0.0,6128
