dimension,level,ads,entry,share_entry
year,2021,461104,12836,0.027837537735521705
year,2022,594150,19989,0.033643019439535474
year,2023,498288,13181,0.026452573612047652
year,2024,416472,10645,0.025559941604717723
year,2025,389807,9547,0.024491607385193185
year,2026,226726,5548,0.02447006518881822
exposure_quartile,1,393507,3650,0.00927556561890894
exposure_quartile,2,813042,17616,0.021666777362055096
exposure_quartile,3,555656,17644,0.03175345897461739
exposure_quartile,4,824342,32836,0.039832981941960985
all,all,2586547,71746,0.027738138916478222
