design,sample,spec,estimator,term,coef,se,pval,n_obs,n_occ
occupation_panel,all ads,baseline,OLS,rb_x_high,-0.1270919049459365,0.03850725109580204,0.0010595893810396717,28084,369
occupation_panel,all ads,baseline,OLS,gpt_x_high,-0.05932978641523457,0.03833934117838764,0.12260440351545032,28084,369
occupation_panel,all ads,i_quartile,OLS,rb_x_high,-0.12986165837957891,0.051849027857732384,0.012690317767609205,28084,369
occupation_panel,all ads,i_quartile,OLS,gpt_x_high,-0.07909237084649413,0.052812069683406744,0.1350894321291496,28084,369
occupation_panel,all ads,i_quartile,OLS,rb_x_rhigh,0.004326130442017631,0.05373610590820819,0.9358778260402418,28084,369
occupation_panel,all ads,i_quartile,OLS,gpt_x_rhigh,0.030251932791503518,0.054755142417724195,0.5809447907880307,28084,369
occupation_panel,all ads,i_remote_only,OLS,rb_x_rhigh,-0.07899878435271954,0.040087880871716254,0.04951420272812346,28084,369
occupation_panel,all ads,i_remote_only,OLS,gpt_x_rhigh,-0.020605432750023533,0.039805151918269284,0.6050083373390862,28084,369
occupation_panel,all ads,ii_continuous_ai_only,OLS,rb_x_z_ai,-0.053634070230120415,0.017480622758836523,0.0023130658181642616,28084,369
occupation_panel,all ads,ii_continuous_ai_only,OLS,gpt_x_z_ai,-0.02229994707720924,0.017117288692013517,0.19346679197636707,28084,369
occupation_panel,all ads,ii_continuous,OLS,rb_x_z_ai,-0.025592454643435996,0.026980779262003155,0.3434750921447509,28084,369
occupation_panel,all ads,ii_continuous,OLS,gpt_x_z_ai,-0.045972553664284856,0.026606187428143403,0.08484694211747579,28084,369
occupation_panel,all ads,ii_continuous,OLS,rb_x_z_rem,-0.03642232171529376,0.023982244021540554,0.12969153191227867,28084,369
occupation_panel,all ads,ii_continuous,OLS,gpt_x_z_rem,0.030760637613234554,0.02475213245216474,0.21475235216227273,28084,369
occupation_panel,all ads,iii_LS_ai_alone,OLS,post_x_z_ai,-0.06356580571312787,0.016769785055182264,0.00017562624121958414,28084,369
occupation_panel,all ads,iii_LS_remote_alone,OLS,post_x_z_rem,-0.046837029163717805,0.017050240387471906,0.006310027338809476,28084,369
occupation_panel,all ads,iii_LS_joint,OLS,post_x_z_ai,-0.0656184786490622,0.023314178534036292,0.005147413379958943,28084,369
occupation_panel,all ads,iii_LS_joint,OLS,post_x_z_rem,0.0026699367489832573,0.024045872087754917,0.9116490145246963,28084,369
occupation_panel,all ads,iv_poisson_baseline,Poisson,rb_x_high,-0.12850759896352923,0.0512160460076763,0.012102972699332915,28084,369
occupation_panel,all ads,iv_poisson_baseline,Poisson,gpt_x_high,-0.06004314565409041,0.04138787939864685,0.14685164339979817,28084,369
occupation_panel,all ads,iv_poisson_quartile,Poisson,rb_x_high,-0.17672666262729828,0.10533306400822852,0.09338828546536004,28084,369
occupation_panel,all ads,iv_poisson_quartile,Poisson,gpt_x_high,-0.05261498298349667,0.05689798562883655,0.35510903375427993,28084,369
occupation_panel,all ads,iv_poisson_quartile,Poisson,rb_x_rhigh,0.08849401630339343,0.12390652634181937,0.475103640685979,28084,369
occupation_panel,all ads,iv_poisson_quartile,Poisson,gpt_x_rhigh,-0.013602924961882026,0.06373389242312341,0.8309891318004516,28084,369
occupation_panel,"all ads, H2 scored occupations",ii_continuous_H2,OLS,rb_x_z_ai,-0.022202700926029197,0.028536656910999606,0.4370514129891556,27694,364
occupation_panel,"all ads, H2 scored occupations",ii_continuous_H2,OLS,gpt_x_z_ai,-0.04923970019222437,0.027471513493684853,0.07390291520923165,27694,364
occupation_panel,"all ads, H2 scored occupations",ii_continuous_H2,OLS,rb_x_z_rem2,-0.036665849630071884,0.029247952539474258,0.21078654997165058,27694,364
occupation_panel,"all ads, H2 scored occupations",ii_continuous_H2,OLS,gpt_x_z_rem2,0.029394015071063952,0.025753974004812503,0.25448124265273764,27694,364
occupation_panel,"all ads, H2 scored occupations",iii_LS_remote_alone_H2,OLS,post_x_z_rem2,-0.050053464982667654,0.019371792494755756,0.010161020467206905,27694,364
occupation_panel,"all ads, H2 scored occupations",iii_LS_joint_H2,OLS,post_x_z_ai,-0.06627627314901689,0.023914824870407872,0.00586995458981554,27694,364
occupation_panel,"all ads, H2 scored occupations",iii_LS_joint_H2,OLS,post_x_z_rem2,0.0011051042571967788,0.028220856219219624,0.9687850431658269,27694,364
occupation_panel,entry-level ads,baseline,OLS,rb_x_high,0.0056764448173917195,0.06603243224972312,0.9315477380666561,12159,345
occupation_panel,entry-level ads,baseline,OLS,gpt_x_high,-0.25926263246680925,0.0642838728835147,6.870023740157549e-05,12159,345
occupation_panel,entry-level ads,i_quartile,OLS,rb_x_high,0.023053805265772307,0.08785547754206552,0.7931752029609065,12159,345
occupation_panel,entry-level ads,i_quartile,OLS,gpt_x_high,-0.2550240027798416,0.08645093070322839,0.0034098755070102182,12159,345
occupation_panel,entry-level ads,i_quartile,OLS,rb_x_rhigh,-0.027177817417678243,0.09183979840608048,0.7674758933201509,12159,345
occupation_panel,entry-level ads,i_quartile,OLS,gpt_x_rhigh,-0.00660904106920052,0.09055232584590765,0.9418623902821452,12159,345
occupation_panel,entry-level ads,iv_poisson_baseline,Poisson,rb_x_high,0.045190070010964596,0.16863952031179794,0.7887236080178952,12159,345
occupation_panel,entry-level ads,iv_poisson_baseline,Poisson,gpt_x_high,-0.16444715476945523,0.16078593321822413,0.30641623536934226,12159,345
occupation_panel,entry-level ads,iv_poisson_quartile,Poisson,rb_x_high,0.10947875668539203,0.24185742382523398,0.6507948517578326,12159,345
occupation_panel,entry-level ads,iv_poisson_quartile,Poisson,gpt_x_high,-0.030715401654842777,0.21535382064030179,0.886584287433164,12159,345
occupation_panel,entry-level ads,iv_poisson_quartile,Poisson,rb_x_rhigh,-0.19005684996189776,0.24933354042312353,0.4459051642796281,12159,345
occupation_panel,entry-level ads,iv_poisson_quartile,Poisson,gpt_x_rhigh,-0.36027355667011796,0.2210983990286231,0.1032132273642481,12159,345
occupation_panel,entry-level ads,iii_LS_joint,OLS,post_x_z_ai,-0.16810835564745777,0.04156563175525341,6.561696141971218e-05,12159,345
occupation_panel,entry-level ads,iii_LS_joint,OLS,post_x_z_rem,0.01843987765295259,0.029106805656662866,0.5268380633073284,12159,345
