panel,sample,measure,spec,rb,se_rb,p_rb,gpt,se_gpt,p_gpt,n_obs,n_occ,n_high_occ
2020-01 to 2026-06,full,DAIOE,base,-0.1270919049459365,0.03850725109580204,0.0010595893810396717,-0.05932978641523457,0.03833934117838764,0.12260440351545032,28084,369,91
2020-01 to 2026-06,full,DAIOE,trend,-0.0810655469530866,0.05083799511786197,0.11166332426124526,0.007972181311639855,0.040283641134437845,0.8432316295640523,28084,369,91
2020-01 to 2026-06,full,DAIOE,grp,-0.03956289905104466,0.04819622067737532,0.41225095253691535,-0.04400778997229454,0.04823335321771356,0.36215901609717016,28084,369,91
2020-01 to 2026-06,full,Eloundou,base,-0.022598853246975005,0.04311444878378655,0.6005090483570363,-0.09440814105604413,0.042945286448438084,0.028598654803830836,25955,341,77
2020-01 to 2026-06,full,Eloundou,trend,0.01881326234042705,0.05818072808435505,0.7466221635869918,-0.03385920419987604,0.04958766470093299,0.49518868617906797,25955,341,77
2020-01 to 2026-06,full,Eloundou,grp,0.036949445673966075,0.05082947441478521,0.4677693277094712,-0.07298149520655649,0.04877853755683694,0.13553428002708978,25955,341,77
2020-01 to 2026-06,common,DAIOE,base,-0.1353267005490436,0.04208450679881116,0.0014266668762685786,-0.050175631012449186,0.0417383905789075,0.23014362710187575,25955,341,80
2020-01 to 2026-06,common,DAIOE,trend,-0.09073268492381222,0.05631691758972049,0.10808390304958082,0.015037233658434367,0.04398667239593273,0.7326683128949147,25955,341,80
2020-01 to 2026-06,common,DAIOE,grp,-0.04596922005125719,0.05425300519670993,0.39741729831310657,-0.023933036899164612,0.05241386473964215,0.6482382613600941,25955,341,80
2020-01 to 2026-06,common,Eloundou,base,-0.022598853246975005,0.04311444878378655,0.6005090483570363,-0.09440814105604413,0.042945286448438084,0.028598654803830836,25955,341,77
2020-01 to 2026-06,common,Eloundou,trend,0.01881326234042705,0.05818072808435505,0.7466221635869918,-0.03385920419987604,0.04958766470093299,0.49518868617906797,25955,341,77
2020-01 to 2026-06,common,Eloundou,grp,0.036949445673966075,0.05082947441478521,0.4677693277094712,-0.07298149520655649,0.04877853755683694,0.13553428002708978,25955,341,77
