table,panel,spec,band,n_firms,seasonal_terms,gamma2,se_gamma2,gamma0,se_gamma0,tau,se_tau,vcov_file,retained_tau
tab:industry_credit,A,baseline_same_sample,22-25,103728.0,yes,-0.0578932761179637,0.0155017559833348,-0.0178553013775175,0.0096661624627783,-0.0400379747404462,0.010250730727651843,vcov_s80_indseas2_base_22_25.csv,
tab:industry_credit,A,industry_age_month,22-25,103728.0,yes,-0.0388006326296888,0.0142866932474387,-0.0101260504263353,0.0086822731399688,-0.028674582203353505,0.011405491157130626,vcov_s80_indseas2_ind_22_25.csv,0.7161846319460948
tab:industry_credit,A,baseline_same_sample,26-30,116378.0,yes,-0.0483148539273168,0.010358700842421,-0.0080094948978571,0.0057090986809447,-0.0403053590294597,0.0067523424899653735,vcov_s80_indseas2_base_26_30.csv,
tab:industry_credit,A,industry_age_month,26-30,116378.0,yes,-0.0151519814615936,0.009834885256081,-0.0043120275850475,0.0058821294392919,-0.010839953876546099,0.007016309882941538,vcov_s80_indseas2_ind_26_30.csv,0.26894572179900544
tab:size_reliability,B,floor_5,22-25,104217.0,yes,-0.0577798336502001,0.0154935051191686,-0.0179179369340303,0.0096626258479721,-0.0398618967161698,0.010245433478891902,vcov_s83_size_floor_5_22_25.csv,
tab:size_reliability,B,floor_60,22-25,52333.0,yes,-0.053724408122713,0.0169224895864099,-0.0128026550059111,0.0105700554011921,-0.0409217531168019,0.011183452589379543,vcov_s83_size_floor_60_22_25.csv,
tab:size_reliability,B,tercile_2,22-25,39215.0,yes,-0.057759348069524,0.022274165791771,-0.0389826827852025,0.0154749162069489,-0.018776665284321502,0.01665983003564262,vcov_s83_size_tercile_2_22_25.csv,
tab:size_reliability,B,tercile_3,22-25,65002.0,yes,-0.0569322130290001,0.0165070283880154,-0.0150287038530683,0.0103084056513725,-0.0419035091759318,0.01090863403086289,vcov_s83_size_tercile_3_22_25.csv,
tab:size_reliability,B,floor_5,26-30,117090.0,yes,-0.0482395072048235,0.0103523581787355,-0.0079610883383595,0.0057058017212049,-0.040278418866464,0.006748377821886895,vcov_s83_size_floor_5_26_30.csv,
tab:size_reliability,B,floor_60,26-30,57113.0,yes,-0.0498315524081441,0.0109881431693232,-0.0092159562464071,0.0060831861935406,-0.040615596161737,0.0071632342004138115,vcov_s83_size_floor_60_26_30.csv,
tab:size_reliability,B,tercile_2,26-30,45195.0,yes,0.0286356166636105,0.0182816686314764,0.0289394194300389,0.011783371148744,-0.00030380276642840223,0.014081012831771014,vcov_s83_size_tercile_2_26_30.csv,
tab:size_reliability,B,tercile_3,26-30,71895.0,yes,-0.0499030473486484,0.0107572352909941,-0.0088851229417481,0.0059519975781163,-0.0410179244069003,0.0070134665962214284,vcov_s83_size_tercile_3_26_30.csv,
Table 1 / response letter,,young_men_male_terms,22-25,,yes,-0.0170545156285412,0.017881866326603,-0.0112076118254517,0.0108996287957366,-0.005846903803089502,0.012032506381124427,vcov_s82_gender_22_25.csv,
tab:industry_credit,B,credit (all rows),both,,no,,,,,,,"vcov_r73_{base,levbase,lev}_<band>.csv: terms post_rb, post, post_x_young_x_lev, post_x_high_x_young_x_lev only; no interim term, tau not recoverable",
