age,n_women,n_men,ai_women,ai_men,tw_women,tw_men,corr_ai_tw,sd_ai_band,sd_tw_band,ai_gap,tw_gap,ai_gap_sd,tw_gap_sd,ai_gap_sd_band,tw_gap_sd_band,sd_ai_1664,sd_tw_1664
16-24,259319,250692,38.9881,34.7928,26.3509,22.5746,0.6697,23.4861,33.8504,4.1953,3.7764,0.1455,0.0886,0.1786,0.1116,28.8421,42.6171
25-29,222759,245360,52.8054,45.1867,42.6739,33.6208,0.7721,28.4237,40.8753,7.6187,9.053,0.2642,0.2124,0.268,0.2215,28.8421,42.6171
30-34,300315,319010,56.7492,49.8304,48.9366,39.759,0.7889,29.2212,42.7588,6.9188,9.1776,0.2399,0.2154,0.2368,0.2146,28.8421,42.6171
35-39,291093,309732,57.2267,51.209,50.7848,41.9824,0.796,29.1455,43.0739,6.0176,8.8025,0.2086,0.2065,0.2065,0.2044,28.8421,42.6171
40-44,266729,278929,57.3924,52.1717,52.245,44.2068,0.8008,28.9462,43.2131,5.2207,8.0381,0.181,0.1886,0.1804,0.186,28.8421,42.6171
45-49,263672,268632,57.5814,52.6642,53.5334,45.5092,0.8033,28.8369,43.3171,4.9172,8.0242,0.1705,0.1883,0.1705,0.1852,28.8421,42.6171
50-54,276340,280034,57.1443,52.2491,53.5194,45.5229,0.8081,28.73,43.4181,4.8952,7.9965,0.1697,0.1876,0.1704,0.1842,28.8421,42.6171
55-59,268975,273480,55.6343,49.5904,51.0436,42.3562,0.8078,28.7918,43.0771,6.0439,8.6875,0.2096,0.2038,0.2099,0.2017,28.8421,42.6171
60-64,213920,213457,53.6136,47.6243,48.0362,40.2112,0.8073,28.6491,42.603,5.9893,7.825,0.2077,0.1836,0.2091,0.1837,28.8421,42.6171
All 16-64,2363122,2439326,54.2881,48.6304,47.676,39.7921,0.7952,28.8421,42.6171,5.6577,7.8839,0.1962,0.185,0.1962,0.185,28.8421,42.6171
