year_month,source_type,n_ads,n_valid_code,valid_share
2019-10,VIA_ANNONSERA,7,7,1.0
2019-10,VIA_PLATSBANKEN_DXA,3,3,1.0
2019-11,VIA_ANNONSERA,10,10,1.0
2019-11,VIA_PLATSBANKEN_DXA,11,11,1.0
2019-12,VIA_AIS,1,1,1.0
2019-12,VIA_ANNONSERA,27,27,1.0
2019-12,VIA_PLATSBANKEN_DXA,58,58,1.0
2020-01,(none),55126,55083,0.999219968798752
2020-01,VIA_AIS,2,2,1.0
2020-01,VIA_ANNONSERA,103,103,1.0
2020-01,VIA_PLATSBANKEN_DXA,194,194,1.0
2020-02,(none),55170,55111,0.9989305782127968
2020-02,VIA_AIS,25,25,1.0
2020-02,VIA_ANNONSERA,520,520,1.0
2020-02,VIA_PLATSBANKEN_DXA,1468,1468,1.0
2020-03,(none),3768,3765,0.9992038216560509
2020-03,VIA_AIS,314,314,1.0
2020-03,VIA_ANNONSERA,11875,11875,1.0
2020-03,VIA_PLATSBANKEN_DXA,34624,34624,1.0
2020-04,(none),10,10,1.0
2020-04,VIA_AIS,212,212,1.0
2020-04,VIA_ANNONSERA,9576,9576,1.0
2020-04,VIA_PLATSBANKEN_DXA,26733,26733,1.0
2020-05,(none),12,12,1.0
2020-05,VIA_AIS,238,238,1.0
2020-05,VIA_ANNONSERA,10001,10001,1.0
2020-05,VIA_PLATSBANKEN_DXA,25040,25040,1.0
2020-06,(none),4,4,1.0
2020-06,VIA_AIS,257,257,1.0
2020-06,VIA_ANNONSERA,10160,10160,1.0
2020-06,VIA_PLATSBANKEN_DXA,24486,24486,1.0
2020-07,VIA_AIS,214,214,1.0
2020-07,VIA_ANNONSERA,8338,8338,1.0
2020-07,VIA_PLATSBANKEN_DXA,15380,15380,1.0
2020-08,(none),1,1,1.0
2020-08,VIA_AIS,253,253,1.0
2020-08,VIA_ANNONSERA,10026,10026,1.0
2020-08,VIA_PLATSBANKEN_DXA,21000,21000,1.0
2020-09,VIA_AIS,271,271,1.0
2020-09,VIA_ANNONSERA,12131,12131,1.0
2020-09,VIA_PLATSBANKEN_DXA,28188,28188,1.0
2020-10,(none),1,1,1.0
2020-10,VIA_AIS,248,248,1.0
2020-10,VIA_ANNONSERA,12490,12490,1.0
2020-10,VIA_PLATSBANKEN_DXA,30797,30797,1.0
2020-11,VIA_AIS,234,234,1.0
2020-11,VIA_ANNONSERA,12896,12896,1.0
2020-11,VIA_PLATSBANKEN_DXA,30843,30843,1.0
2020-12,(none),1,1,1.0
2020-12,VIA_AIS,192,192,1.0
2020-12,VIA_ANNONSERA,10867,10867,1.0
2020-12,VIA_PLATSBANKEN_DXA,28842,28842,1.0
2021-01,VIA_AIS,255,255,1.0
2021-01,VIA_ANNONSERA,12096,12096,1.0
2021-01,VIA_PLATSBANKEN_DXA,27729,27729,1.0
2021-02,VIA_AIS,270,270,1.0
2021-02,VIA_ANNONSERA,14794,14791,0.9997972150871975
2021-02,VIA_PLATSBANKEN_DXA,33345,33342,0.9999100314889788
2021-03,VIA_AIS,315,314,0.9968253968253968
2021-03,VIA_ANNONSERA,19145,19142,0.9998433011230086
2021-03,VIA_PLATSBANKEN_DXA,43088,43081,0.9998375417749722
2021-04,VIA_AIS,298,298,1.0
2021-04,VIA_ANNONSERA,19220,19216,0.9997918834547347
2021-04,VIA_PLATSBANKEN_DXA,45255,45241,0.9996906419180202
2021-05,VIA_AIS,308,306,0.9935064935064936
2021-05,VIA_ANNONSERA,18777,18756,0.9988816104809075
2021-05,VIA_PLATSBANKEN_DXA,45357,45273,0.9981480256630729
2021-06,VIA_AIS,327,302,0.9235474006116208
2021-06,VIA_ANNONSERA,16023,15405,0.9614304437371278
2021-06,VIA_PLATSBANKEN_DXA,42246,40439,0.9572267196894381
2021-07,VIA_AIS,288,278,0.9652777777777778
2021-07,VIA_ANNONSERA,12444,11832,0.9508196721311475
2021-07,VIA_PLATSBANKEN_DXA,26913,25282,0.9393973172816111
2021-08,VIA_AIS,349,349,1.0
2021-08,VIA_ANNONSERA,17163,17163,1.0
2021-08,VIA_PLATSBANKEN_DXA,35150,35150,1.0
2021-09,VIA_AIS,324,324,1.0
2021-09,VIA_ANNONSERA,22861,22861,1.0
2021-09,VIA_PLATSBANKEN_DXA,49344,49344,1.0
2021-10,VIA_AIS,342,342,1.0
2021-10,VIA_ANNONSERA,21707,21707,1.0
2021-10,VIA_PLATSBANKEN_DXA,51757,51757,1.0
2021-11,VIA_AIS,340,340,1.0
2021-11,VIA_ANNONSERA,23481,23481,1.0
2021-11,VIA_PLATSBANKEN_DXA,55004,55004,1.0
2021-12,VIA_AIS,330,330,1.0
2021-12,VIA_ANNONSERA,20406,20406,1.0
2021-12,VIA_PLATSBANKEN_DXA,56988,56988,1.0
2022-01,VIA_AIS,361,361,1.0
2022-01,VIA_ANNONSERA,23352,23352,1.0
2022-01,VIA_PLATSBANKEN_DXA,53915,53915,1.0
2022-02,VIA_AIS,329,329,1.0
2022-02,VIA_ANNONSERA,27681,27681,1.0
2022-02,VIA_PLATSBANKEN_DXA,62173,62173,1.0
2022-03,VIA_AIS,380,380,1.0
2022-03,VIA_ANNONSERA,29949,29949,1.0
2022-03,VIA_PLATSBANKEN_DXA,75067,75067,1.0
2022-04,VIA_AIS,328,328,1.0
2022-04,VIA_ANNONSERA,26278,26278,1.0
2022-04,VIA_PLATSBANKEN_DXA,65352,65352,1.0
2022-05,VIA_AIS,346,346,1.0
2022-05,VIA_ANNONSERA,30291,30291,1.0
2022-05,VIA_PLATSBANKEN_DXA,77410,77410,1.0
2022-06,VIA_AIS,241,241,1.0
2022-06,VIA_ANNONSERA,24946,24946,1.0
2022-06,VIA_PLATSBANKEN_DXA,63886,63886,1.0
2022-07,VIA_AIS,142,142,1.0
2022-07,VIA_ANNONSERA,19344,19344,1.0
2022-07,VIA_PLATSBANKEN_DXA,41932,41932,1.0
2022-08,VIA_AIS,263,263,1.0
2022-08,VIA_ANNONSERA,27182,27182,1.0
2022-08,VIA_PLATSBANKEN_DXA,61435,61435,1.0
2022-09,VIA_AIS,250,250,1.0
2022-09,VIA_ANNONSERA,26373,26373,1.0
2022-09,VIA_PLATSBANKEN_DXA,67608,67608,1.0
2022-10,VIA_AIS,199,199,1.0
2022-10,VIA_ANNONSERA,27684,27684,1.0
2022-10,VIA_PLATSBANKEN_DXA,73804,73804,1.0
2022-11,VIA_AIS,218,218,1.0
2022-11,VIA_ANNONSERA,26476,26476,1.0
2022-11,VIA_PLATSBANKEN_DXA,60959,60959,1.0
2022-12,VIA_AIS,182,182,1.0
2022-12,VIA_ANNONSERA,26459,26459,1.0
2022-12,VIA_PLATSBANKEN_DXA,58979,58979,1.0
2023-01,VIA_AIS,227,227,1.0
2023-01,VIA_ANNONSERA,30844,30844,1.0
2023-01,VIA_PLATSBANKEN_DXA,62651,62651,1.0
2023-02,VIA_AIS,219,219,1.0
2023-02,VIA_ANNONSERA,28523,28523,1.0
2023-02,VIA_PLATSBANKEN_DXA,61860,61860,1.0
2023-03,VIA_AIS,231,231,1.0
2023-03,VIA_ANNONSERA,35731,35731,1.0
2023-03,VIA_PLATSBANKEN_DXA,76711,76711,1.0
2023-04,VIA_AIS,217,217,1.0
2023-04,VIA_ANNONSERA,32608,32608,1.0
2023-04,VIA_PLATSBANKEN_DXA,62106,62106,1.0
2023-05,VIA_AIS,179,179,1.0
2023-05,VIA_ANNONSERA,41525,41525,1.0
2023-05,VIA_PLATSBANKEN_DXA,85239,85239,1.0
2023-06,VIA_AIS,208,208,1.0
2023-06,VIA_ANNONSERA,25485,25485,1.0
2023-06,VIA_PLATSBANKEN_DXA,61247,61247,1.0
2023-07,VIA_AIS,111,111,1.0
2023-07,VIA_ANNONSERA,22179,22179,1.0
2023-07,VIA_PLATSBANKEN_DXA,40621,40621,1.0
2023-08,VIA_AIS,150,150,1.0
2023-08,VIA_ANNONSERA,24269,24269,1.0
