year_month,source_type,n_ads,n_valid_code,valid_share
2019-12,VIA_PLATSBANKEN_DXA,2,2,1.0
2020-01,(none),516,516,1.0
2020-01,VIA_PLATSBANKEN_DXA,1,1,1.0
2020-02,(none),595,595,1.0
2020-02,VIA_ANNONSERA,7,7,1.0
2020-02,VIA_PLATSBANKEN_DXA,8,8,1.0
2020-03,(none),38,38,1.0
2020-03,VIA_AIS,7,7,1.0
2020-03,VIA_ANNONSERA,134,134,1.0
2020-03,VIA_PLATSBANKEN_DXA,350,350,1.0
2020-04,VIA_AIS,3,3,1.0
2020-04,VIA_ANNONSERA,112,112,1.0
2020-04,VIA_PLATSBANKEN_DXA,281,281,1.0
2020-05,VIA_AIS,3,3,1.0
2020-05,VIA_ANNONSERA,104,104,1.0
2020-05,VIA_PLATSBANKEN_DXA,266,266,1.0
2020-06,VIA_AIS,4,4,1.0
2020-06,VIA_ANNONSERA,95,95,1.0
2020-06,VIA_PLATSBANKEN_DXA,245,245,1.0
2020-07,VIA_AIS,3,3,1.0
2020-07,VIA_ANNONSERA,96,96,1.0
2020-07,VIA_PLATSBANKEN_DXA,177,177,1.0
2020-08,VIA_AIS,2,2,1.0
2020-08,VIA_ANNONSERA,100,100,1.0
2020-08,VIA_PLATSBANKEN_DXA,224,224,1.0
2020-09,VIA_AIS,4,4,1.0
2020-09,VIA_ANNONSERA,110,110,1.0
2020-09,VIA_PLATSBANKEN_DXA,277,277,1.0
2020-10,VIA_AIS,4,4,1.0
2020-10,VIA_ANNONSERA,113,113,1.0
2020-10,VIA_PLATSBANKEN_DXA,328,328,1.0
2020-11,VIA_AIS,5,5,1.0
2020-11,VIA_ANNONSERA,115,115,1.0
2020-11,VIA_PLATSBANKEN_DXA,317,317,1.0
2020-12,VIA_ANNONSERA,107,107,1.0
2020-12,VIA_PLATSBANKEN_DXA,288,288,1.0
2021-01,VIA_AIS,6,6,1.0
2021-01,VIA_ANNONSERA,132,132,1.0
2021-01,VIA_PLATSBANKEN_DXA,299,299,1.0
2021-02,VIA_AIS,3,3,1.0
2021-02,VIA_ANNONSERA,144,144,1.0
2021-02,VIA_PLATSBANKEN_DXA,331,331,1.0
2021-03,VIA_AIS,5,5,1.0
2021-03,VIA_ANNONSERA,168,168,1.0
2021-03,VIA_PLATSBANKEN_DXA,406,406,1.0
2021-04,VIA_AIS,5,5,1.0
2021-04,VIA_ANNONSERA,214,214,1.0
2021-04,VIA_PLATSBANKEN_DXA,476,474,0.9957983193277311
2021-05,VIA_AIS,2,2,1.0
2021-05,VIA_ANNONSERA,181,181,1.0
2021-05,VIA_PLATSBANKEN_DXA,453,453,1.0
2021-06,VIA_AIS,2,2,1.0
2021-06,VIA_ANNONSERA,178,171,0.9606741573033708
2021-06,VIA_PLATSBANKEN_DXA,448,426,0.9508928571428571
2021-07,VIA_AIS,7,6,0.8571428571428571
2021-07,VIA_ANNONSERA,102,101,0.9901960784313726
2021-07,VIA_PLATSBANKEN_DXA,249,232,0.9317269076305221
2021-08,VIA_AIS,2,2,1.0
2021-08,VIA_ANNONSERA,180,180,1.0
2021-08,VIA_PLATSBANKEN_DXA,358,358,1.0
2021-09,VIA_AIS,1,1,1.0
2021-09,VIA_ANNONSERA,238,238,1.0
2021-09,VIA_PLATSBANKEN_DXA,494,494,1.0
2021-10,VIA_AIS,1,1,1.0
2021-10,VIA_ANNONSERA,209,209,1.0
2021-10,VIA_PLATSBANKEN_DXA,507,507,1.0
2021-11,VIA_AIS,6,6,1.0
2021-11,VIA_ANNONSERA,225,225,1.0
2021-11,VIA_PLATSBANKEN_DXA,517,517,1.0
2021-12,VIA_AIS,1,1,1.0
2021-12,VIA_ANNONSERA,213,213,1.0
2021-12,VIA_PLATSBANKEN_DXA,632,632,1.0
2022-01,VIA_AIS,3,3,1.0
2022-01,VIA_ANNONSERA,242,242,1.0
2022-01,VIA_PLATSBANKEN_DXA,533,533,1.0
2022-02,VIA_AIS,3,3,1.0
2022-02,VIA_ANNONSERA,266,266,1.0
2022-02,VIA_PLATSBANKEN_DXA,634,634,1.0
2022-03,VIA_AIS,2,2,1.0
2022-03,VIA_ANNONSERA,288,288,1.0
2022-03,VIA_PLATSBANKEN_DXA,759,759,1.0
2022-04,VIA_AIS,1,1,1.0
2022-04,VIA_ANNONSERA,284,284,1.0
2022-04,VIA_PLATSBANKEN_DXA,687,687,1.0
2022-05,VIA_AIS,3,3,1.0
2022-05,VIA_ANNONSERA,284,284,1.0
2022-05,VIA_PLATSBANKEN_DXA,729,729,1.0
2022-06,VIA_AIS,3,3,1.0
2022-06,VIA_ANNONSERA,250,250,1.0
2022-06,VIA_PLATSBANKEN_DXA,600,600,1.0
2022-07,VIA_AIS,3,3,1.0
2022-07,VIA_ANNONSERA,157,157,1.0
2022-07,VIA_PLATSBANKEN_DXA,380,380,1.0
2022-08,VIA_AIS,1,1,1.0
2022-08,VIA_ANNONSERA,259,259,1.0
2022-08,VIA_PLATSBANKEN_DXA,591,591,1.0
2022-09,VIA_AIS,4,4,1.0
2022-09,VIA_ANNONSERA,224,224,1.0
2022-09,VIA_PLATSBANKEN_DXA,681,681,1.0
2022-10,VIA_AIS,3,3,1.0
2022-10,VIA_ANNONSERA,216,216,1.0
2022-10,VIA_PLATSBANKEN_DXA,663,663,1.0
2022-11,VIA_AIS,2,2,1.0
2022-11,VIA_ANNONSERA,255,255,1.0
2022-11,VIA_PLATSBANKEN_DXA,632,632,1.0
2022-12,VIA_AIS,2,2,1.0
2022-12,VIA_ANNONSERA,259,259,1.0
2022-12,VIA_PLATSBANKEN_DXA,600,600,1.0
2023-01,VIA_AIS,4,4,1.0
2023-01,VIA_ANNONSERA,301,301,1.0
2023-01,VIA_PLATSBANKEN_DXA,640,640,1.0
2023-02,VIA_AIS,3,3,1.0
2023-02,VIA_ANNONSERA,290,290,1.0
2023-02,VIA_PLATSBANKEN_DXA,627,627,1.0
2023-03,VIA_AIS,3,3,1.0
2023-03,VIA_ANNONSERA,363,363,1.0
2023-03,VIA_PLATSBANKEN_DXA,772,772,1.0
2023-04,VIA_PLATSBANKEN_DXA,2,2,1.0
2023-09,VIA_PLATSBANKEN_DXA,1,1,1.0
2023-10,VIA_ANNONSERA,1,1,1.0
2023-11,VIA_PLATSBANKEN_DXA,9,9,1.0
2023-12,VIA_ANNONSERA,5,5,1.0
2023-12,VIA_PLATSBANKEN_DXA,22,22,1.0
2024-01,VIA_AIS,2,2,1.0
2024-01,VIA_ANNONSERA,243,243,1.0
2024-01,VIA_PLATSBANKEN_DXA,451,451,1.0
2024-02,VIA_AIS,3,3,1.0
2024-02,VIA_ANNONSERA,224,224,1.0
2024-02,VIA_PLATSBANKEN_DXA,517,517,1.0
2024-03,VIA_AIS,2,2,1.0
2024-03,VIA_ANNONSERA,194,194,1.0
2024-03,VIA_PLATSBANKEN_DXA,490,490,1.0
2024-04,VIA_AIS,2,2,1.0
2024-04,VIA_ANNONSERA,235,235,1.0
2024-04,VIA_PLATSBANKEN_DXA,536,536,1.0
2024-05,VIA_ANNONSERA,191,191,1.0
2024-05,VIA_PLATSBANKEN_DXA,517,517,1.0
2024-06,VIA_ANNONSERA,157,157,1.0
2024-06,VIA_PLATSBANKEN_DXA,391,391,1.0
2024-07,VIA_AIS,2,2,1.0
2024-07,VIA_ANNONSERA,130,130,1.0
2024-07,VIA_PLATSBANKEN_DXA,285,285,1.0
2024-08,VIA_AIS,1,1,1.0
2024-08,VIA_ANNONSERA,186,186,1.0
2024-08,VIA_PLATSBANKEN_DXA,338,338,1.0
2024-09,VIA_AIS,1,1,1.0
2024-09,VIA_ANNONSERA,216,216,1.0
2024-09,VIA_PLATSBANKEN_DXA,387,387,1.0
2024-10,VIA_AIS,2,2,1.0
2024-10,VIA_ANNONSERA,189,189,1.0
2024-10,VIA_PLATSBANKEN_DXA,370,370,1.0
2024-11,VIA_ANNONSERA,155,155,1.0
2024-11,VIA_PLATSBANKEN_DXA,390,390,1.0
2024-12,VIA_AIS,2,2,1.0
2024-12,VIA_ANNONSERA,99,99,1.0
2024-12,VIA_PLATSBANKEN_DXA,327,327,1.0
2025-05,VIA_PLATSBANKEN_DXA,1,1,1.0
2025-06,VIA_ANNONSERA,2,2,1.0
2025-06,VIA_PLATSBANKEN_DXA,17,17,1.0
2025-07,VIA_ANNONSERA,91,91,1.0
2025-07,VIA_PLATSBANKEN_DXA,224,224,1.0
2025-08,VIA_AIS,2,2,1.0
2025-08,VIA_ANNONSERA,129,129,1.0
2025-08,VIA_PLATSBANKEN_DXA,288,288,1.0
2025-09,VIA_AIS,1,1,1.0
2025-09,VIA_ANNONSERA,123,123,1.0
2025-09,VIA_PLATSBANKEN_DXA,326,326,1.0
