spec,term,coef,se,pval,n_obs,period,decile
P3_deciles,rb_d2,-0.03856222748475395,0.08475939225384642,0.6491372149342047,26568,post_riksbank,2
P3_deciles,gpt_d2,0.2532765404719711,0.05380201257042116,2.506917754718785e-06,26568,post_chatgpt,2
P3_deciles,rb_d3,0.1548044793275582,0.08592297719074538,0.07159802047198194,26568,post_riksbank,3
P3_deciles,gpt_d3,0.09153455325941827,0.06551357620569463,0.16235809634098208,26568,post_chatgpt,3
P3_deciles,rb_d4,0.0155868473390252,0.10408909593555542,0.8809656090007956,26568,post_riksbank,4
P3_deciles,gpt_d4,0.14250549787368771,0.10839590811535738,0.18861881900951483,26568,post_chatgpt,4
P3_deciles,rb_d5,-0.05062159015702815,0.06441623599281181,0.431954541356236,26568,post_riksbank,5
P3_deciles,gpt_d5,0.07598184634129951,0.05783955089445262,0.18895865733883443,26568,post_chatgpt,5
P3_deciles,rb_d6,-0.02839668491067875,0.1009032276794501,0.7783844905445116,26568,post_riksbank,6
P3_deciles,gpt_d6,0.20332254648218284,0.09089150360206676,0.025287596347996377,26568,post_chatgpt,6
P3_deciles,rb_d7,0.018186450558214672,0.21434906345894633,0.9323846018356268,26568,post_riksbank,7
P3_deciles,gpt_d7,0.1611726376341465,0.10182981168462452,0.11347509119226662,26568,post_chatgpt,7
P3_deciles,rb_d8,-0.07927698154375626,0.07647722090593415,0.2999180802614576,26568,post_riksbank,8
P3_deciles,gpt_d8,0.09054470791471636,0.04685359751240657,0.0532974780233717,26568,post_chatgpt,8
P3_deciles,rb_d9,-0.07746392879820875,0.07684641582712361,0.3134373351145614,26568,post_riksbank,9
P3_deciles,gpt_d9,0.04627489974918281,0.061102184248105054,0.44884843201918745,26568,post_chatgpt,9
P3_deciles,rb_d10,-0.17085215769676357,0.06296677445263155,0.006660269220855275,26568,post_riksbank,10
P3_deciles,gpt_d10,0.12030910615495814,0.059287702947766904,0.04243363173916492,26568,post_chatgpt,10
