year,age_group,gap,dd_vs_2022
2020,16-24 years,-2.186855036913899,0.02486681469281038
2020,25-29 years,-1.1692893875380381,-0.06876980602210381
2020,30-34 years,-0.8969181142315445,-0.0393765321514028
2020,35-39 years,-0.7978317268381243,0.0005024920015337386
2020,40-44 years,-0.7316794137580196,0.010811262819371947
2020,45-49 years,-0.7521923735855811,-0.021667131687637564
2020,50-54 years,-0.8764280217366984,-0.051226560499349816
2020,55-59 years,-0.9883377332790388,-0.05692651475954236
2020,60-64 years,-1.0896408911584654,-0.036181933351700835
2021,16-24 years,-2.208633213582898,0.0030886380238115407
2021,25-29 years,-1.148459342558656,-0.047939761042721685
2021,30-34 years,-0.890483407535962,-0.03294182545582025
2021,35-39 years,-0.8069391602125968,-0.008604941372938768
2021,40-44 years,-0.7393964710584129,0.0030942055189786544
2021,45-49 years,-0.7406572245415841,-0.010131982643640569
2021,50-54 years,-0.8513389921384888,-0.026137530901140238
2021,55-59 years,-0.9607295652137502,-0.029318346694253705
2021,60-64 years,-1.0696696401539505,-0.016210682347185923
2022,16-24 years,-2.2117218516067094,0.0
2022,25-29 years,-1.1005195815159343,0.0
2022,30-34 years,-0.8575415820801418,0.0
2022,35-39 years,-0.798334218839658,0.0
2022,40-44 years,-0.7424906765773915,0.0
2022,45-49 years,-0.7305252418979435,0.0
2022,50-54 years,-0.8252014612373486,0.0
2022,55-59 years,-0.9314112185194965,0.0
2022,60-64 years,-1.0534589578067646,0.0
2023,16-24 years,-2.194253134935243,0.01746871667146621
2023,25-29 years,-1.030070376996587,0.07044920451934722
2023,30-34 years,-0.8131883334022927,0.044353248677849066
2023,35-39 years,-0.7752877927155666,0.023046426124091468
2023,40-44 years,-0.7421855798271171,0.00030509675027445837
2023,45-49 years,-0.7329696940777932,-0.0024444521798496766
2023,50-54 years,-0.7982292817157681,0.026972179521580486
2023,55-59 years,-0.9051089344608183,0.026302284058678183
2023,60-64 years,-1.027421151143015,0.026037806663749663
2023,65-69 years,-1.1552490335039156,
2024,16-24 years,-2.217742634512522,-0.006020782905812538
2024,25-29 years,-1.0798417780064877,0.02067780350944659
2024,30-34 years,-0.8038642217975216,0.05367736028262016
2024,35-39 years,-0.7663751172305258,0.03195910160913229
2024,40-44 years,-0.7440071493890326,-0.001516472811641023
2024,45-49 years,-0.732153479765417,-0.0016282378674734588
2024,50-54 years,-0.7745798739924918,0.05062158724485677
2024,55-59 years,-0.8921894367246583,0.03922178179483815
2024,60-64 years,-1.0084707167955642,0.04498824101120036
2024,65-69 years,-1.1439798860863615,
