ssyk4,exposure_quartile
1112,3
1113,3
1120,3
1211,4
1212,4
1221,4
1222,4
1230,3
1241,4
1242,4
1251,4
1252,4
1291,3
1292,3
1311,4
1312,4
1321,4
1322,3
1331,4
1332,4
1341,3
1342,3
1351,3
1352,3
1361,3
1362,3
1371,2
1372,2
1380,1
1411,3
1412,3
1421,3
1422,3
1491,3
1492,3
1511,3
1512,3
1521,3
1522,3
1531,3
1532,3
1540,3
1591,4
1592,4
1611,3
1612,3
1711,2
1712,2
1721,2
1722,2
1731,3
1732,2
1741,3
1742,3
1791,3
1792,3
2111,4
2112,4
2113,4
2114,4
2121,4
2122,4
2131,4
2132,4
2133,4
2134,3
2135,2
2141,4
2142,4
2143,4
2144,4
2145,4
2146,4
2149,4
2161,4
2162,4
2163,4
2164,3
2171,4
2172,4
2173,4
2179,4
2181,3
2182,2
2183,4
2211,3
2212,3
2213,3
2219,3
2221,2
2222,2
2223,2
2224,2
2225,2
2226,2
2227,2
2228,2
2231,2
2232,2
2233,2
2234,2
2235,2
2239,2
2241,4
2242,4
2250,2
2260,2
2271,3
2272,2
2273,3
2281,3
2282,3
2283,3
2284,3
2289,3
2311,4
2312,4
2313,4
2314,4
2319,4
2320,2
2330,3
2341,4
2342,3
2343,3
2351,3
2352,4
2359,3
2411,4
2412,4
2413,4
2414,4
2415,4
2419,4
2421,4
2422,4
2423,4
2431,4
2432,4
2511,4
2512,4
2513,4
2514,4
2515,4
2516,4
2519,4
2611,4
2612,4
2613,4
2614,4
2615,4
2619,4
2621,4
2622,4
2623,4
2641,4
2642,4
2643,4
2651,2
2652,3
2653,1
2654,4
2655,3
2661,3
2662,3
2663,2
2669,3
2671,3
2672,3
3111,3
3112,3
3113,2
3114,3
3115,3
3116,3
3117,4
3119,3
3121,2
3122,2
3151,2
3152,2
3153,2
3154,3
3155,3
3211,2
3212,3
3213,2
3214,2
3215,3
3230,2
3240,2
3250,2
3311,4
3312,4
3313,4
3314,4
3321,4
3322,3
3323,4
3324,4
3331,3
3332,4
3333,3
3334,3
3335,3
3339,4
3341,3
3342,4
3343,3
3351,2
3352,4
3353,3
3354,3
3355,3
3359,3
3360,2
3411,2
3421,1
3422,2
3423,2
3424,2
3431,3
3432,3
3433,3
3439,3
3441,3
3449,3
3451,2
3452,2
3511,4
3512,3
3513,4
3514,4
3515,4
3521,3
3522,2
4111,4
4112,4
4113,4
4114,4
4115,4
4116,4
4117,4
4119,4
4211,2
4212,3
4221,3
4222,4
4223,3
4224,3
4225,4
4226,4
4321,2
4322,2
4323,3
4410,3
4420,1
4430,3
5111,1
5112,2
5113,3
5120,2
5131,1
5132,1
5141,2
5142,2
5143,2
5144,2
5149,2
5151,3
5152,1
5161,2
5169,2
5221,2
5222,2
5223,2
5224,2
5225,2
5226,2
5227,2
5230,2
5241,3
5242,3
5311,2
5312,3
5321,2
5322,1
5323,1
5324,1
5325,1
5326,1
5330,2
5341,1
5342,2
5343,2
5349,2
5350,2
5411,1
5412,1
5413,2
5414,2
5419,3
6111,1
6112,1
6113,1
6121,2
6122,2
6129,2
6130,1
6210,2
6221,1
6222,1
7111,2
7112,1
7113,1
7114,1
7115,1
7116,1
7119,1
7121,1
7122,1
7123,1
7124,1
7125,1
7126,2
7131,1
7132,1
7134,1
7211,1
7212,1
7213,2
7214,2
7215,1
7221,1
7222,2
7223,1
7224,1
7231,1
7232,2
7233,1
7311,2
7312,3
7319,2
7321,3
7322,2
7323,1
7411,2
7412,2
7413,1
7420,2
7521,1
7522,1
7523,1
7531,2
7532,1
7533,1
7534,1
7611,1
7612,2
7613,2
7619,1
8111,1
8112,1
8113,1
8114,1
8115,1
8116,1
8121,1
8122,1
8129,1
8131,1
8132,2
8141,1
8142,1
8143,1
8151,1
8159,1
8161,1
8162,1
8163,1
8169,1
8171,1
8172,1
8173,1
8174,1
8181,1
8189,1
8191,2
8192,2
8193,1
8199,3
8211,2
8212,2
8213,1
8214,1
8219,1
8311,1
8312,1
8321,1
8329,1
8331,1
8332,1
8341,1
8342,1
8343,1
8344,1
8350,1
9111,1
9119,2
9120,1
9210,1
9310,1
9320,1
9331,1
9332,1
9411,2
9412,1
9413,1
9520,3
9610,2
9621,1
9622,1
9629,1
