quarter,coef,se,date,ci_lo,ci_hi
2020Q1,0.0,0.0,2020-01-01,0.0,0.0
2020Q2,0.07183099938330112,0.058844308883498835,2020-04-01,-0.043503846028356594,0.18716584479495885
2020Q3,-0.09150842732336413,0.04984337719183204,2020-07-01,-0.18920144661935492,0.006184591972626663
2020Q4,0.16659595193793086,0.05115600224277359,2020-10-01,0.06633018754209463,0.2668617163337671
2021Q1,-0.001319771906619298,0.04567801124071704,2021-01-01,-0.0908486739384247,0.0882091301251861
2021Q2,-0.0027809243405497656,0.048084192727463115,2021-04-01,-0.09702594208637746,0.09146409340527795
2021Q3,-0.12844226642140086,0.06826094033533484,2021-07-01,-0.2622337094786571,0.005349176635855407
2021Q4,0.04192435540228536,0.07264827080097871,2021-10-01,-0.1004662553676329,0.18431496617220364
2022Q1,-0.12814223745546963,0.06324381418841726,2022-01-01,-0.25210011326476744,-0.004184361646171794
2022Q2,-0.10343168938162578,0.061447430393423534,2022-04-01,-0.2238686529527359,0.017005274189484346
2022Q3,-0.18604794809214265,0.06665584002078616,2022-07-01,-0.3166933945328835,-0.055402501651401787
2022Q4,-0.033808745358473474,0.06187463648246893,2022-10-01,-0.15508303286411257,0.08746554214716562
2023Q1,-0.1948215768370402,0.06699145849961703,2023-01-01,-0.32612483549628957,-0.06351831817779083
2023Q2,-0.13812713495423493,0.06962601804759079,2023-04-01,-0.2745941303275129,-0.0016601395809569819
2023Q3,-0.2156730738911168,0.08026293560029515,2023-07-01,-0.3729884276676953,-0.058357720114538325
2023Q4,-0.027707091847882337,0.07689096693903555,2023-10-01,-0.17841338704839202,0.12299920335262735
2024Q1,-0.22022042495055036,0.07065034585060084,2024-01-01,-0.358695102817728,-0.0817457470833727
2024Q2,-0.18168279810588395,0.07699437345615966,2024-04-01,-0.3325917700799569,-0.03077382613181101
2024Q3,-0.25537874659403687,0.07724927427038489,2024-07-01,-0.4067873241639912,-0.10397016902408249
2024Q4,-0.07834005956050286,0.06720627303869839,2024-10-01,-0.2100643547163517,0.053384235595346
2025Q1,-0.2954921324818499,0.06113652100654951,2025-01-01,-0.41531971365468695,-0.17566455130901287
2025Q2,-0.12732549457829234,0.06327405297522351,2025-04-01,-0.2513426384097304,-0.0033083507468542606
2025Q3,-0.27959470385889773,0.07398996769318714,2025-07-01,-0.4246150405375445,-0.13457436718025095
2025Q4,-0.11998844515262733,0.0703140886073788,2025-10-01,-0.25780405882308977,0.017827168517835112
