ssyk4,teleworkable
1112,0.5
1113,0.9629629629629629
1120,1.0
1211,1.0
1212,1.0
1221,1.0
1222,1.0
1230,0.9012345679012346
1241,1.0
1242,1.0
1251,1.0
1252,1.0
1291,0.8179012345679012
1292,0.6134259259259259
1311,1.0
1312,1.0
1321,0.8333333333333333
1322,0.6626984126984127
1331,0.75
1332,0.75
1341,0.8888888888888888
1342,0.8888888888888888
1351,0.8148148148148149
1352,0.8148148148148149
1361,0.0
1362,0.2962962962962963
1371,0.0
1372,0.0
1380,0.0925925925925926
1411,1.0
1412,1.0
1421,0.0
1422,0.0
1491,1.0
1492,1.0
1511,1.0
1512,1.0
1521,1.0
1522,1.0
1531,1.0
1532,1.0
1540,1.0
1591,0.8888888888888888
1592,0.8888888888888888
1611,1.0
1612,1.0
1711,0.0
1712,0.0
1721,0.0
1722,0.0
1731,1.0
1732,0.6666666666666666
1741,0.6666666666666666
1742,0.6666666666666666
1791,0.8888888888888888
1792,0.9444444444444444
2111,1.0
2112,1.0
2113,0.0
2114,1.0
2121,1.0
2122,1.0
2131,0.31481481481481477
2132,0.6296296296296295
2133,0.6296296296296295
2134,0.16666666666666666
2135,0.15277777777777776
2141,0.5
2142,1.0
2143,1.0
2144,0.4583333333333333
2145,0.0
2146,0.25
2149,0.35757575757575755
2161,1.0
2162,1.0
2163,0.0
2164,0.75
2171,1.0
2172,1.0
2173,0.75
2179,0.5
2181,0.0
2182,0.25
2183,0.8333333333333333
2211,0.11875
2212,0.020833333333333332
2213,0.020833333333333332
2219,0.020833333333333332
2221,0.0
2222,0.0
2223,0.0
2224,0.0
2225,0.0
2226,0.0
2227,0.0
2228,0.0
2231,0.0
2232,0.0
2233,0.0
2234,0.0
2235,0.0
2239,0.0
2241,1.0
2242,1.0
2250,0.0
2260,0.0
2271,0.27777777777777773
2272,0.0
2273,0.27777777777777773
2281,0.0
2282,0.0
2283,0.5
2284,0.0
2289,0.27777777777777773
2311,0.9714285714285714
2312,0.9714285714285714
2313,0.9714285714285714
2314,0.9714285714285714
2319,0.9714285714285714
2320,1.0
2330,1.0
2341,1.0
2342,1.0
2343,1.0
2351,0.9
2352,1.0
2359,1.0
2411,0.6666666666666666
2412,0.6666666666666666
2413,1.0
2414,1.0
2415,1.0
2419,0.9444444444444445
2421,1.0
2422,0.9166666666666667
2423,1.0
2431,1.0
2432,1.0
2511,1.0
2512,1.0
2513,1.0
2514,1.0
2515,1.0
2516,1.0
2519,1.0
2611,1.0
2612,0.5
2613,1.0
2614,1.0
2615,1.0
2619,1.0
2621,1.0
2622,1.0
2623,0.8333333333333333
2641,1.0
2642,1.0
2643,0.5
2651,0.16666666666666666
2652,0.25
2653,0.0
2654,0.7999999999999999
2655,0.0
2661,0.6666666666666667
2662,0.5
2663,0.0
2669,0.5
2671,1.0
2672,0.5
3111,0.5634920634920635
3112,0.3
3113,0.0
3114,0.0
3115,0.03333333333333333
3116,0.25
3117,1.0
3119,0.06666666666666667
3121,0.0
3122,0.0
3151,0.5
3152,0.5
3153,0.3333333333333333
3154,1.0
3155,0.0
3211,0.0
3212,0.0
3213,0.0
3214,0.0
3215,0.12962962962962962
3230,0.016666666666666666
3240,0.0
3250,0.0
3311,1.0
3312,0.3968253968253968
3313,1.0
3314,0.6666666666666666
3321,1.0
3322,1.0
3323,1.0
3324,0.6904761904761905
3331,0.75
3332,0.34523809523809523
3333,1.0
3334,0.75
3335,0.75
3339,0.6904761904761905
3341,1.0
3342,0.9166666666666667
3343,1.0
3351,0.16666666666666666
3352,0.0
3353,0.25
3354,0.16666666666666666
3355,0.23888888888888885
3359,0.47222222222222215
3360,0.14444444444444446
3411,0.0
3421,1.0
3422,0.6458333333333333
3423,0.3125
3424,0.625
3431,0.9
3432,0.3333333333333333
3433,0.0
3439,0.16666666666666666
3441,1.0
3449,1.0
3451,0.0
3452,0.0
3511,1.0
3512,1.0
3513,1.0
3514,1.0
3515,1.0
3521,0.8
3522,0.26666666666666666
4111,0.75
4112,1.0
4113,0.6
4114,1.0
4115,0.0
4116,1.0
4117,1.0
4119,0.9370370370370371
4211,0.2
4212,0.5
4221,0.41666666666666663
4222,0.375
4223,0.5
4224,0.0
4225,0.0
4226,1.0
4321,0.08333333333333333
4322,0.041666666666666664
4323,1.0
4410,0.75
4420,0.4
4430,0.6357142857142858
5111,0.3333333333333333
5112,0.5
5113,0.16666666666666666
5120,0.2
5131,0.0
5132,0.0
5141,0.16666666666666666
5142,0.25
5143,0.0
5144,0.25
5149,0.25
5151,0.3333333333333333
5152,0.0
5161,0.0
5169,0.4375
5221,0.6666666666666666
5222,0.0
5223,0.5
5224,0.0
5225,0.5
5226,0.0
5227,0.0625
5230,0.0
5241,0.3333333333333333
5242,1.0
5311,0.75
5312,1.0
5321,0.08333333333333333
5322,0.0
5323,0.0
5324,0.0
5325,0.0
5326,0.0
5330,0.08333333333333333
5341,0.0
5342,0.08333333333333333
5343,0.16666666666666666
5349,0.06979166666666667
5350,0.0
5411,0.0
5412,0.0
5413,0.25
5414,0.5
5419,0.48809523809523814
6111,0.125
6112,0.0
6113,0.0
6121,0.125
6122,0.125
6129,0.125
6130,0.08333333333333333
6210,0.025
6221,0.125
6222,0.125
7111,0.0
7112,0.0
7113,0.0
7114,0.025
7115,0.0
7116,0.1
7119,0.03333333333333333
7121,0.0
7122,0.0
7123,0.0
7124,0.0
7125,0.0
7126,0.0
7131,0.0
7132,0.0
7134,0.0
7211,0.0
7212,0.0
7213,0.0
7214,0.0
7215,0.0
7221,0.0
7222,0.0
