ssyk4,occupation_name,pctl_rank_genai,group
2641,Författare m.fl.,99.879997,Most exposed
2122,Statistiker,99.650002,Most exposed
2121,Matematiker och aktuarier,99.410004,Most exposed
2415,Nationalekonomer och makroanalytiker m.fl.,99.169998,Most exposed
2512,Mjukvaru- och systemutvecklare m.fl.,98.940002,Most exposed
2145,Civilingenjörsyrken inom kemi och kemiteknik,98.699997,Most exposed
2111,Fysiker och astronomer,98.459999,Most exposed
2414,Traders och fondförvaltare,98.230003,Most exposed
2513,Utvecklare inom spel och digitala media,97.989998,Most exposed
2112,Meteorologer,97.75,Most exposed
9120,"Bilrekonditionerare, fönsterputsare och övriga rengöringsarbetare",2.25,Least exposed
2653,Koreografer och dansare,2.01,Least exposed
8350,Matroser och jungmän m.fl.,1.77,Least exposed
7113,Betongarbetare,1.54,Least exposed
8341,Förare av jordbruks- och skogsmaskiner,1.3,Least exposed
9310,Grovarbetare inom bygg och anläggning,1.0599999,Least exposed
8342,Anläggningsmaskinförare m.fl.,0.82999998,Least exposed
8111,Gruv- och stenbrottsarbetare,0.58999997,Least exposed
7121,Takmontörer,0.34999999,Least exposed
3421,Professionella idrottsutövare,0.12,Least exposed
